nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm00511161	Humbert Balsan	1954	2005	producer,actor,director	tt0306734,tt0169353,tt0208288,tt0361670	https://image.tmdb.org/t/p/{width_variable}/a4MdpZJ8drWOuDGGtJyaJQ1TtVH.jpg
nm00516841	Denise Bandeira	1952	\N	writer,actress	tt0085216,tt0137283,tt0290350,tt0379174	https://image.tmdb.org/t/p/{width_variable}/vAFZgCjWrRNYeW5s8i4kkPbQR1z.jpg
nm00517101	Vaitiare Hirshon	1964	\N	actress,producer	tt0120873,tt0118480,tt0113066,tt6063616	https://image.tmdb.org/t/p/{width_variable}/1pp2QeecfreEMpI9XVBexGDFbjf.jpg
nm00518661	Brenda Banet	\N	\N	miscellaneous,actress,set_decorator	tt0096883,tt8447386,tt1252600,tt1015156	\N
nm00523461	Alfred Bannerman	\N	\N	composer	tt0095147	\N
nm00524511	Vladimir Bannykh	1952	\N	production_designer	tt0253422,tt0271238,tt0089828,tt0102843	\N
nm00525641	Claus Bantzer	1942	\N	composer,actor,music_department	tt0086922,tt0090566,tt0091719,tt0093930	\N
nm00525801	Frank A. Banuscher	\N	2008	cinematographer,camera_department,miscellaneous	tt0131686,tt1157603,tt0806910,tt0797756	\N
nm00528491	Nino Baragli	1925	2013	editor,editorial_department	tt0102426,tt0091113,tt0060196,tt0060315	https://image.tmdb.org/t/p/{width_variable}/2iWNZkKmuo17q4QCI8TMhGPD7PA.jpg
nm00529961	Catherine Baranov	\N	\N	actress	tt0097874	https://image.tmdb.org/t/p/{width_variable}/xnHJJYLgetbo1yfF2I1Mw3VX0W4.jpg
nm00530221	Andrzej Baranski	1941	\N	director,writer,assistant_director	tt0089433,tt0102508,tt0479258,tt0106783	https://image.tmdb.org/t/p/{width_variable}/9UeAXyPtycZEe9TYtXeyOm4pwNj.jpg
nm00537161	Marco Barboni	1952	\N	writer	tt0085601,tt0095975,tt0087481,tt0102667	\N
nm00540071	Artur Barcis	1956	\N	actor,director	tt0831833,tt0095467,tt0441060,tt1087638	https://image.tmdb.org/t/p/{width_variable}/2murk7fjwSHI1e2nozRwGCwm8f.jpg
nm00541711	Ann Louise Bardach	\N	\N	writer,actress	tt13128292,tt0098363,tt0091778,tt0096875	\N
nm00542181	Juan Bardem	\N	\N	composer,music_department,soundtrack	tt0484064,tt0306432,tt0349076,tt0162875	\N
nm00545381	Paul Barge	1941	\N	actor,director,writer	tt1175392,tt0280007,tt0166909,tt0197199	https://image.tmdb.org/t/p/{width_variable}/9crIfHpc5VLv7Upv1Op7ob1enRW.jpg
nm00550011	Tim Barker	1947	\N	actor,miscellaneous	tt0108919,tt0056751,tt0324342,tt0337909	https://image.tmdb.org/t/p/{width_variable}/x8HZqmAqMJiY48AuJbvxSEc04za.jpg
nm00551081	Yevgeny Barkov	1934	2000	actor	tt0058767,tt0332483,tt0166629,tt4205210	\N
nm00555491	Christopher Daniel Barnes	1972	\N	actor,soundtrack	tt0097757,tt0086886,tt0112572,tt0118073	https://image.tmdb.org/t/p/{width_variable}/9bxL5NR3HteEOQ9kzJRSuaXLZg8.jpg
